Achluophobia;fear of darkness;3 minutes eit miške tiesiai be šviesos
Acousticophobia;fear of noise – a branch of phonophobia;Leisti surėkt kitam žmogui tau į ausį
Acrophobia;fear of heights;Haikas į kalnus
Aerophobia;fear of aircraft or flying;*
Agoraphobia;fear of certain inescapable/unsafe situations;*
Agyrophobia;fear of crossing streets;Pereik gatvę per raudoną
Aichmophobia;fear of sharp or pointed objects such as needles, pins or knives;Paliest peilio ašmenis pirštais
Ailurophobia;fear/dislike of cats, a zoophobia;Paliest katę
Alektorophobia;fear/dislike of chickens, a zoophobia;Paliest vištą
Anatidaephobia;fear/dislike of ducks, a zoophobia;Paliest antį
Algophobia;fear of pain;Slapas
Alliumphobia;fear/dislike of Allium plants, including garlic, onions, chives, and shallots;Atsikąst svogūną
Ancraophobia;fear of wind or drafts;Būt vietovėj su stipriu vėju
Androphobia;fear of adult men;Paspaust ranką 35+ čiuvui
Anthropophobia;fear of human beings;Paklaust nepažįstamojo klausimo
Apeirophobia;excessive fear of infinity, eternity, and the uncountable;5min stebėti dangų
Aphenphosmphobia;fear of being touched;Būk pakutentas
Apiphobia;fear of bees, a zoophobia;Paliest bitę
Apotemnophobia;fear of amputees, and/or of becoming an amputee;Pasisveikint su begalūniu
Aquaphobia;fear of water. Distinct from hydrophobia, a scientific property that makes chemicals averse to interaction with water, as well as an archaic name for rabies.;Nusimaudyt natūraliam vandens telkiny
Arachnophobia;fear of spiders and other arachnids such as scorpions, a zoophobia;Paliest vorą
Asiophobia;fear/dislike of the asians;Pasisveikint
Astraphobia;fear of thunder and lightning;Išgirst ir pamatyt griaustinį
Atelophobia;fear of imperfection; a synonym of perfectionism;Paklaust ir išklausyt minuso apie save
Athazagoraphobia;fear of forgetting, forgetfulness and/or being forgotten;Paklausk savo gimtadienio to kuris nežino
Atychiphobia;fear of failure or negative evaluations of others;Gaut užduotį iš kito kurios nesugebėsi padaryt
Autophobia;fear of isolation;Tūlike 10min
Bacteriophobia;fear of bacteria;Nenusiplaut rankų po tūliko
Basophobia; basiphobia,fear associated with astasia-abasia (fear of walking/standing erect) and a fear of falling;Atsistot
Batrachophobia;fear/dislike of frogs and other amphibians, a zoophobia;Paliest varlę
Belonephobia;fear of needles or pins;Įsidurt su adata/smeigtuku
Bibliophobia;fear of books;Atsiverst knygą
Blood-injection-injury type phobia;a DSM-IV subtype of specific phobias;Bloodbond
Cacophobia; aschimophobia,fear of ugliness;Pažiūrėt į kito surastą nuotrauką
Carcinophobia;fear of cancer;Parūkyt cigariuką
